Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Downstream tier 1 (ISIC Division/Group/Class),ISIC level used for downstream tier 1 link,Downstream tier 2 (ISIC Division/Group/Class),ISIC level used for downstream tier 2 link
Information and communication,Publishing activities,"Publishing of books, periodicals and other publishing activities",ISIC Group,Manufacture of textiles,ISIC Division,Manufacture of wearing apparel,ISIC Division
Information and communication,Publishing activities,"Publishing of books, periodicals and other publishing activities",ISIC Group,Manufacture of textiles,ISIC Division,Other manufacturing,ISIC Division
Information and communication,Publishing activities,"Publishing of books, periodicals and other publishing activities",ISIC Group,Manufacture of textiles,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Information and communication,Publishing activities,"Publishing of books, periodicals and other publishing activities",ISIC Group,Manufacture of textiles,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Information and communication,Publishing activities,"Publishing of books, periodicals and other publishing activities",ISIC Group,Manufacture of wearing apparel,ISIC Division,Human health activities,ISIC Division
Information and communication,Publishing activities,"Publishing of books, periodicals and other publishing activities",ISIC Group,Manufacture of wearing apparel,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Information and communication,Publishing activities,"Publishing of books, periodicals and other publishing activities",ISIC Group,Manufacture of wearing apparel,ISIC Division,Manufacture of furniture,ISIC Division
Information and communication,Publishing activities,"Publishing of books, periodicals and other publishing activities",ISIC Group,Manufacture of wearing apparel,ISIC Division,Manufacture of rubber and plastics products,ISIC Division
Information and communication,Publishing activities,"Publishing of books, periodicals and other publishing activities",ISIC Group,Manufacture of wearing apparel,ISIC Division,Manufacture of textiles,ISIC Division
Information and communication,Publishing activities,"Publishing of books, periodicals and other publishing activities",ISIC Group,Manufacture of wearing apparel,ISIC Division,Manufacture of wearing apparel,ISIC Division
Information and communication,Publishing activities,"Publishing of books, periodicals and other publishing activities",ISIC Group,Manufacture of wearing apparel,ISIC Division,Other manufacturing,ISIC Division
Information and communication,Publishing activities,"Publishing of books, periodicals and other publishing activities",ISIC Group,Manufacture of wearing apparel,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Information and communication,Publishing activities,"Publishing of books, periodicals and other publishing activities",ISIC Group,Manufacture of wearing apparel,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Information and communication,Publishing activities,"Publishing of books, periodicals and other publishing activities",ISIC Group,Manufacture of wearing apparel,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Information and communication,Publishing activities,"Publishing of books, periodicals and other publishing activities",ISIC Group,Manufacture of wearing apparel,ISIC Division,Residential care activities,ISIC Division
