EXIOBASE,NACElevel,NACE Code,NACE Code and Level,NACE class,ISIC Class,ISIC Group,ISIC Division,ISIC Section,ISIC Unique Group code,ISIC Unique Class code
Post and telecommunications (64),J,61.3,J61.30,Satellite telecommunications activities,Satellite telecommunications activities,Satellite telecommunications activities,Telecommunications,Information and communication,J_61_613,J_61_613_6130
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",C,16.1,C16.10,Sawmilling and planing of wood,Sawmilling and planing of wood,Sawmilling and planing of wood,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing,C_16_161,C_16_161_1610
Re-processing of secondary wood material into new wood material,C,16.1,C16.10,Sawmilling and planing of wood,Sawmilling and planing of wood,Sawmilling and planing of wood,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing,C_16_161,C_16_161_1610
Sea and coastal water transport,H,50.2,H50.20,Sea and coastal freight water transport,Sea and coastal freight water transport,Sea and coastal water transport,Water transport,Transportation and storage,H_50_501,H_50_501_5012
Sea and coastal water transport,H,50.1,H50.10,Sea and coastal passenger water transport,Sea and coastal passenger water transport,Sea and coastal water transport,Water transport,Transportation and storage,H_50_501,H_50_501_5011
Education (80),P,85.31,P85.31,General secondary education,General secondary education,Secondary education,Education,Education,P_85_852,P_85_852_8521
Education (80),P,85.32,P85.32,Technical and vocational secondary education,Technical and vocational secondary education,Secondary education,Education,Education,P_85_852,P_85_852_8522
Other business activities (74),N,80.2,N80.20,Security systems service activities,Security systems service activities,Security systems service activities,Security and investigation activities,Administrative and support service activities,N_80_802,N_80_802_8020
"Waste water treatment, food",E,37,E37.00,Sewerage,Sewerage,Sewerage,Sewerage,"Water supply; sewerage, waste management and remediation activities",E_37_370,E_37_370_3700
"Waste water treatment, other",E,37,E37.00,Sewerage,Sewerage,Sewerage,Sewerage,"Water supply; sewerage, waste management and remediation activities",E_37_370,E_37_370_3700
Hotels and restaurants (55),I,55.2,I55.20,Holiday and other short-stay accommodation,Short term accommodation activities,Short term accommodation activities,Accommodation,Accommodation and food service activities,I_55_551,I_55_551_5510
Hotels and restaurants (55),I,55.1,I55.10,Hotels and similar accommodation,Short term accommodation activities,Short term accommodation activities,Accommodation,Accommodation and food service activities,I_55_551,I_55_551_5510
"Forestry, logging and related service activities (02)",A,2.1,A02.10,Silviculture and other forestry activities,Silviculture and other forestry activities,Silviculture and other forestry activities,Forestry and logging,"Agriculture, forestry and fishing",A_2_21,A_2_21_210
Health and social work (85),Q,88.1,Q88.10,Social work activities without accommodation for the elderly and disabled,Social work activities without accommodation for the elderly and disabled,Social work activities without accommodation for the elderly and disabled,Social work activities without accommodation,Human health and social work activities,Q_88_881,Q_88_881_8810
Computer and related activities (72),J,58.29,J58.29,Other software publishing,Software publishing,Software publishing,Publishing activities,Information and communication,J_58_582,J_58_582_5820
"Publishing, printing and reproduction of recorded media (22)",J,59.2,J59.20,Sound recording and music publishing activities,Sound recording and music publishing activities,Sound recording and music publishing activities,"Motion picture, video and television programme production, sound recording and music publishing activities",Information and communication,J_59_592,J_59_592_5920
Other business activities (74),M,74.1,M74.10,Specialised design activities,Specialized design activities,Specialized design activities,"Other professional, scientific and technical activities","Professional, scientific and technical activities",M_74_741,M_74_741_7410
Manufacture of textiles (17),C,13.3,C13.30,Finishing of textiles,Finishing of textiles,"Spinning, weaving and finishing of textiles",Manufacture of textiles,Manufacturing,C_13_131,C_13_131_1313
Manufacture of textiles (17),C,13.1,C13.10,Preparation and spinning of textile fibres,Preparation and spinning of textile fibres,"Spinning, weaving and finishing of textiles",Manufacture of textiles,Manufacturing,C_13_131,C_13_131_1311
Manufacture of textiles (17),C,13.2,C13.20,Weaving of textiles,Weaving of textiles,"Spinning, weaving and finishing of textiles",Manufacture of textiles,Manufacturing,C_13_131,C_13_131_1312
"Recreational, cultural and sporting activities (92)",R,93.12,R93.12,Activities of sports clubs,Activities of sports clubs,Sports activities,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation",R_93_931,R_93_931_9312
Other service activities (93),R,93.13,R93.13,Fitness facilities,Operation of sports facilities,Sports activities,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation",R_93_931,R_93_931_9311
"Recreational, cultural and sporting activities (92)",R,93.11,R93.11,Operation of sports facilities,Operation of sports facilities,Sports activities,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation",R_93_931,R_93_931_9311
"Recreational, cultural and sporting activities (92)",R,93.19,R93.19,Other sports activities,Other sports activities,Sports activities,Sports activities and amusement and recreation activities,"Arts, entertainment and recreation",R_93_931,R_93_931_9319
Steam and hot water supply,D,35.3,D35.30,Steam and air conditioning supply,Steam and air conditioning supply,Steam and air conditioning supply,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_353,D_35_353_3530
Mining of aluminium ores and concentrates,B,9.9,B09.90,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99,B_9_99_990
"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",B,9.9,B09.90,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99,B_9_99_990
Mining of coal and lignite; extraction of peat (10),B,9.9,B09.90,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99,B_9_99_990
Mining of copper ores and concentrates,B,9.9,B09.90,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99,B_9_99_990
Mining of iron ores,B,9.9,B09.90,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99,B_9_99_990
"Mining of lead, zinc and tin ores and concentrates",B,9.9,B09.90,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99,B_9_99_990
Mining of nickel ores and concentrates,B,9.9,B09.90,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99,B_9_99_990
Mining of other non-ferrous metal ores and concentrates,B,9.9,B09.90,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99,B_9_99_990
Mining of precious metal ores and concentrates,B,9.9,B09.90,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99,B_9_99_990
Mining of uranium and thorium ores (12),B,9.9,B09.90,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99,B_9_99_990
Quarrying of sand and clay,B,9.9,B09.90,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99,B_9_99_990
Quarrying of stone,B,9.9,B09.90,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99,B_9_99_990
"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",B,9.1,B09.10,Support activities for petroleum and natural gas extraction,Support activities for petroleum and natural gas extraction,Support activities for petroleum and natural gas extraction,Mining support service activities,Mining and quarrying,B_9_91,B_9_91_910
"Extraction of natural gas and services related to natural gas extraction, excluding surveying",B,9.1,B09.10,Support activities for petroleum and natural gas extraction,Support activities for petroleum and natural gas extraction,Support activities for petroleum and natural gas extraction,Mining support service activities,Mining and quarrying,B_9_91,B_9_91_910
"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",B,9.1,B09.10,Support activities for petroleum and natural gas extraction,Support activities for petroleum and natural gas extraction,Support activities for petroleum and natural gas extraction,Mining support service activities,Mining and quarrying,B_9_91,B_9_91_910
Supporting and auxiliary transport activities; activities of travel agencies (63),H,52.24,H52.24,Cargo handling,Cargo handling,Support activities for transportation,Warehousing and support activities for transportation,Transportation and storage,H_52_522,H_52_522_5224
Supporting and auxiliary transport activities; activities of travel agencies (63),H,52.29,H52.29,Other transportation support activities,Other transportation support activities,Support activities for transportation,Warehousing and support activities for transportation,Transportation and storage,H_52_522,H_52_522_5229
Supporting and auxiliary transport activities; activities of travel agencies (63),H,52.23,H52.23,Service activities incidental to air transportation,Service activities incidental to air transportation,Support activities for transportation,Warehousing and support activities for transportation,Transportation and storage,H_52_522,H_52_522_5223
Supporting and auxiliary transport activities; activities of travel agencies (63),H,52.21,H52.21,Service activities incidental to land transportation,Service activities incidental to land transportation,Support activities for transportation,Warehousing and support activities for transportation,Transportation and storage,H_52_522,H_52_522_5221
Supporting and auxiliary transport activities; activities of travel agencies (63),H,52.22,H52.22,Service activities incidental to water transportation,Service activities incidental to water transportation,Support activities for transportation,Warehousing and support activities for transportation,Transportation and storage,H_52_522,H_52_522_5222
Cultivation of cereal grains nec,A,1.63,A01.63,Post-harvest crop activities,Post-harvest crop activities,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_163
Cultivation of crops nec,A,1.63,A01.63,Post-harvest crop activities,Post-harvest crop activities,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_163
Cultivation of oil seeds,A,1.63,A01.63,Post-harvest crop activities,Post-harvest crop activities,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_163
Cultivation of paddy rice,A,1.63,A01.63,Post-harvest crop activities,Post-harvest crop activities,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_163
Cultivation of plant-based fibers,A,1.63,A01.63,Post-harvest crop activities,Post-harvest crop activities,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_163
"Cultivation of sugar cane, sugar beet",A,1.63,A01.63,Post-harvest crop activities,Post-harvest crop activities,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_163
"Cultivation of vegetables, fruit, nuts",A,1.63,A01.63,Post-harvest crop activities,Post-harvest crop activities,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_163
Cultivation of wheat,A,1.63,A01.63,Post-harvest crop activities,Post-harvest crop activities,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_163
Cultivation of cereal grains nec,A,1.64,A01.64,Seed processing for propagation,Seed processing for propagation,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_164
Cultivation of crops nec,A,1.64,A01.64,Seed processing for propagation,Seed processing for propagation,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_164
Cultivation of oil seeds,A,1.64,A01.64,Seed processing for propagation,Seed processing for propagation,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_164
Cultivation of paddy rice,A,1.64,A01.64,Seed processing for propagation,Seed processing for propagation,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_164
Cultivation of plant-based fibers,A,1.64,A01.64,Seed processing for propagation,Seed processing for propagation,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_164
"Cultivation of sugar cane, sugar beet",A,1.64,A01.64,Seed processing for propagation,Seed processing for propagation,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_164
"Cultivation of vegetables, fruit, nuts",A,1.64,A01.64,Seed processing for propagation,Seed processing for propagation,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_164
Cultivation of wheat,A,1.64,A01.64,Seed processing for propagation,Seed processing for propagation,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_164
Animal products nec,A,1.62,A01.62,Support activities for animal production,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_162
Cattle farming,A,1.62,A01.62,Support activities for animal production,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_162
"Manure treatment (biogas), storage and land application",A,1.62,A01.62,Support activities for animal production,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_162
"Manure treatment (conventional), storage and land application",A,1.62,A01.62,Support activities for animal production,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_162
Meat animals nec,A,1.62,A01.62,Support activities for animal production,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_162
Pigs farming,A,1.62,A01.62,Support activities for animal production,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_162
Poultry farming,A,1.62,A01.62,Support activities for animal production,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_162
Raw milk,A,1.62,A01.62,Support activities for animal production,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_162
"Wool, silk-worm cocoons",A,1.62,A01.62,Support activities for animal production,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_162
Cultivation of cereal grains nec,A,1.61,A01.61,Support activities for crop production,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_161
Cultivation of crops nec,A,1.61,A01.61,Support activities for crop production,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_161
Cultivation of oil seeds,A,1.61,A01.61,Support activities for crop production,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_161
Cultivation of paddy rice,A,1.61,A01.61,Support activities for crop production,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_161
Cultivation of plant-based fibers,A,1.61,A01.61,Support activities for crop production,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_161
"Cultivation of sugar cane, sugar beet",A,1.61,A01.61,Support activities for crop production,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_161
"Cultivation of vegetables, fruit, nuts",A,1.61,A01.61,Support activities for crop production,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_161
Cultivation of wheat,A,1.61,A01.61,Support activities for crop production,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16,A_1_16_161
"Forestry, logging and related service activities (02)",A,2.4,A02.40,Support services to forestry,Support services to forestry,Support services to forestry,Forestry and logging,"Agriculture, forestry and fishing",A_2_24,A_2_24_240
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",C,15.12,C15.12,"Manufacture of luggage, handbags and the like, saddlery and harness","Manufacture of luggage, handbags and the like, saddlery and harness","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",Manufacture of leather and related products,Manufacturing,C_15_151,C_15_151_1512
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",C,15.11,C15.11,Tanning and dressing of leather; dressing and dyeing of fur,Tanning and dressing of leather; dressing and dyeing of fur,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",Manufacture of leather and related products,Manufacturing,C_15_151,C_15_151_1511
Other business activities (74),M,71.2,M71.20,Technical testing and analysis,Technical testing and analysis,Technical testing and analysis,Architectural and engineering activities; technical testing and analysis,"Professional, scientific and technical activities",M_71_712,M_71_712_7120
"Recreational, cultural and sporting activities (92)",J,60.2,J60.20,Television programming and broadcasting activities,Television programming and broadcasting activities,Television programming and broadcasting activities,Programming and broadcasting activities,Information and communication,J_60_602,J_60_602_6020
Other business activities (74),N,78.2,N78.20,Temporary employment agency activities,Temporary employment agency activities,Temporary employment agency activities,Employment activities,Administrative and support service activities,N_78_782,N_78_782_7820
Transport via pipelines,H,49.5,H49.50,Transport via pipeline,Transport via pipeline,Transport via pipeline,Land transport and transport via pipelines,Transportation and storage,H_49_493,H_49_493_4930
Transport via railways,H,49.2,H49.20,Freight rail transport,Freight rail transport,Transport via railways,Land transport and transport via pipelines,Transportation and storage,H_49_491,H_49_491_4912
Transport via railways,H,49.1,H49.10,"Passenger rail transport, interurban","Passenger rail transport, interurban",Transport via railways,Land transport and transport via pipelines,Transportation and storage,H_49_491,H_49_491_4911
Supporting and auxiliary transport activities; activities of travel agencies (63),N,79.12,N79.12,Tour operator activities,Tour operator activities,Travel agency and tour operator activities,"Travel agency, tour operator, reservation service and related activities",Administrative and support service activities,N_79_791,N_79_791_7912
Supporting and auxiliary transport activities; activities of travel agencies (63),N,79.11,N79.11,Travel agency activities,Travel agency activities,Travel agency and tour operator activities,"Travel agency, tour operator, reservation service and related activities",Administrative and support service activities,N_79_791,N_79_791_7911
"Financial intermediation, except insurance and pension funding (65)",K,64.3,K64.30,"Trusts, funds and similar financial entities","Trusts, funds and similar financial entities","Trusts, funds and similar financial entities","Financial service activities, except insurance and pension funding",Financial and insurance activities,K_64_643,K_64_643_6430
Private households with employed persons (95),T,98.1,T98.10,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,T_98_981,T_98_981_9810
Private households with employed persons (95),T,98.2,T98.20,Undifferentiated service-producing activities of private households for own use,Undifferentiated service-producing activities of private households for own use,Undifferentiated service-producing activities of private households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,T_98_982,T_98_982_9820
Health and social work (85),M,75,M75.00,Veterinary activities,Veterinary activities,Veterinary activities,Veterinary activities,"Professional, scientific and technical activities",M_75_750,M_75_750_7500
Supporting and auxiliary transport activities; activities of travel agencies (63),H,52.1,H52.10,Warehousing and storage,Warehousing and storage,Warehousing and storage,Warehousing and support activities for transportation,Transportation and storage,H_52_521,H_52_521_5210
"Biogasification of sewage slugde, incl. land application",E,38.12,E38.12,Collection of hazardous waste,Collection of hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3812
Incineration of waste: Metals and Inert materials,E,38.12,E38.12,Collection of hazardous waste,Collection of hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3812
Incineration of waste: Oil/Hazardous waste,E,38.12,E38.12,Collection of hazardous waste,Collection of hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3812
Landfill of waste: Inert/metal/hazardous,E,38.12,E38.12,Collection of hazardous waste,Collection of hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3812
"Biogasification of food waste, incl. land application",E,38.11,E38.11,Collection of non-hazardous waste,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3811
"Biogasification of paper, incl. land application",E,38.11,E38.11,Collection of non-hazardous waste,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3811
"Composting of food waste, incl. land application",E,38.11,E38.11,Collection of non-hazardous waste,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3811
"Composting of paper and wood, incl. land application",E,38.11,E38.11,Collection of non-hazardous waste,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3811
Incineration of waste: Food,E,38.11,E38.11,Collection of non-hazardous waste,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3811
Incineration of waste: Paper,E,38.11,E38.11,Collection of non-hazardous waste,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3811
Incineration of waste: Plastic,E,38.11,E38.11,Collection of non-hazardous waste,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3811
Incineration of waste: Textiles,E,38.11,E38.11,Collection of non-hazardous waste,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3811
Incineration of waste: Wood,E,38.11,E38.11,Collection of non-hazardous waste,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3811
Landfill of waste: Food,E,38.11,E38.11,Collection of non-hazardous waste,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3811
Landfill of waste: Paper,E,38.11,E38.11,Collection of non-hazardous waste,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3811
Landfill of waste: Plastic,E,38.11,E38.11,Collection of non-hazardous waste,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3811
Landfill of waste: Textiles,E,38.11,E38.11,Collection of non-hazardous waste,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3811
Landfill of waste: Wood,E,38.11,E38.11,Collection of non-hazardous waste,Collection of non-hazardous waste,Waste collection,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_381,E_38_381_3811
"Biogasification of sewage slugde, incl. land application",E,38.22,E38.22,Treatment and disposal of hazardous waste,Treatment and disposal of hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3822
Incineration of waste: Metals and Inert materials,E,38.22,E38.22,Treatment and disposal of hazardous waste,Treatment and disposal of hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3822
Incineration of waste: Oil/Hazardous waste,E,38.22,E38.22,Treatment and disposal of hazardous waste,Treatment and disposal of hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3822
Landfill of waste: Inert/metal/hazardous,E,38.22,E38.22,Treatment and disposal of hazardous waste,Treatment and disposal of hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3822
"Biogasification of food waste, incl. land application",E,38.21,E38.21,Treatment and disposal of non-hazardous waste,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3821
"Biogasification of paper, incl. land application",E,38.21,E38.21,Treatment and disposal of non-hazardous waste,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3821
"Composting of food waste, incl. land application",E,38.21,E38.21,Treatment and disposal of non-hazardous waste,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3821
"Composting of paper and wood, incl. land application",E,38.21,E38.21,Treatment and disposal of non-hazardous waste,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3821
Incineration of waste: Food,E,38.21,E38.21,Treatment and disposal of non-hazardous waste,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3821
Incineration of waste: Paper,E,38.21,E38.21,Treatment and disposal of non-hazardous waste,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3821
Incineration of waste: Plastic,E,38.21,E38.21,Treatment and disposal of non-hazardous waste,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3821
Incineration of waste: Textiles,E,38.21,E38.21,Treatment and disposal of non-hazardous waste,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3821
Incineration of waste: Wood,E,38.21,E38.21,Treatment and disposal of non-hazardous waste,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3821
Landfill of waste: Food,E,38.21,E38.21,Treatment and disposal of non-hazardous waste,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382,E_38_382_3821
